uid,name
دین(dyn),دین
دین(dyn),dyn
پوندال(pdl),پوند(\u200c|\s*)ال
پوندال(pdl),pdl
کیلوپوند(kp),کیلو(\u200c|\s*)پوند
کیلوپوند(kp),kp
ژول(j),ژول
ژول(j),j
میلیژول(mj),میلی(\u200c|\s*)ژول
میلیژول(mj),mj
میکروژول(μj),میکرو(\u200c|\s*)ژول
میکروژول(μj),μj
کیلوژول(kj),کیلو(\u200c|\s*)ژول
کیلوژول(kj),kj
مگاژول(Mj),مگا(\u200c|\s*)ژول
مگاژول(Mj),Mj
گیگاژول(Gj),گیگا(\u200c|\s*)ژول
گیگاژول(Gj),Gj
میلیواتساعت(mW.h),میلی(\u200c|\s*)وات(\u200c|\s*)ساعت
میلیواتساعت(mW.h),mW.h
واتساعت(W.h),وات(\u200c|\s*)ساعت
واتساعت(W.h),W.h
کیلوواتساعت(kW.h),کیلو(\u200c|\s*)وات(\u200c|\s*)ساعت
کیلوواتساعت(kW.h),kW.h
مگاواتساعت(MW.h),مگا(\u200c|\s*)وات(\u200c|\s*)ساعت
مگاواتساعت(MW.h),MW.h
گیگاواتساعت(GW.h),گیگا(\u200c|\s*)وات(\u200c|\s*)ساعت
گیگاواتساعت(GW.h),GW.h
کالری(cal),کالری
کالری(cal),cal
میلیکالری(mcal),میلی(\u200c|\s*)کالری
میلیکالری(mcal),mcal
کیلوکالری(kcal),کیلو(\u200c|\s*)کالری
کیلوکالری(kcal),kcal
اسببخار-ساعت(hp.h),اسب(\u200c|\s*)بخار-ساعت
اسببخار-ساعت(hp.h),hp.h
واحدگرماییانگلیسی(BTU),واحد(\u200c|\s*)گرم(\u200c|\s*)اییانگلیسی
واحدگرماییانگلیسی(BTU),BTU
فوتپوند(ft.lb),فوت(\u200c|\s*)پوند
فوتپوند(ft.lb),ft.lb
فوتپوندال(ft-pdl),فوت(\u200c|\s*)پوند(\u200c|\s*)ال
فوتپوندال(ft-pdl),ft-pdl
اینچپوندنیرو(in.lbf),اینچ(\u200c|\s*)پوند(\u200c|\s*)نیرو
اینچپوندنیرو(in.lbf),in.lbf
ارگ(erg),ارگ
ارگ(erg),erg
لیتراتمسفر(L.atm),لیتر(\u200c|\s*)اتمسفر
لیتراتمسفر(L.atm),L.atm
گالناتمسفرانگلیسی(impgal.atm),گالن(\u200c|\s*)اتمسفر(\u200c|\s*)انگلیسی
گالناتمسفرانگلیسی(impgal.atm),impgal.atm
گالناتمسفرآمریکایی(usgal.atm),گالن(\u200c|\s*)اتمسفر(\u200c|\s*)آمریکایی
گالناتمسفرآمریکایی(usgal.atm),usgal.atm
هارتری(Eh),هارتری
هارتری(Eh),Eh
ریدبرگ(Ry),ریدبرگ
ریدبرگ(Ry),Ry
الکترونولت(ev),الکترون(\u200c|\s*)ولت
الکترونولت(ev),ev
مگاالکترونولت(Mev),مگا(\u200c|\s*)الکترون(\u200c|\s*)ولت
مگاالکترونولت(Mev),Mev
ترماستاندارد(Ec-therm),ترم(\u200c|\s*)استاندارد
ترماستاندارد(Ec-therm),Ec-therm
ترمآمریکایی(us-therm),ترم(\u200c|\s*)آمریکایی
ترمآمریکایی(us-therm),us-therm
بشکهنفت(BOE),بشکه(\u200c|\s*)نفت
بشکهنفت(BOE),BOE
تننفت(toe),تن(\u200c|\s*)نفت
تننفت(toe),toe
تنتیانتی(tonofTNT),تن(\u200c|\s*)تی(\u200c|\s*)ان(\u200c|\s*)تی
تنتیانتی(tonofTNT),ton(\u200c|\s*)of(\u200c|\s*)TNT
وات(W),وات
وات(W),W
میلیوات(mW),میلی(\u200c|\s*)وات
میلیوات(mW),mW
کیلووات(kW),کیلو(\u200c|\s*)وات
کیلووات(kW),kW
مگاوات(MW),مگا(\u200c|\s*)وات
مگاوات(MW),MW
گیگاوات(GW),گیگا(\u200c|\s*)وات
گیگاوات(GW),GW
اسببخار(hp),اسب(\u200c|\s*)بخار
اسببخار(hp),hp
ژولبرثانیه(j/s),ژول(\u200c|\s*)بر(\u200c|\s*)ثانیه
ژولبرثانیه(j/s),j/s
ژولبردقیقه(j/min),ژول(\u200c|\s*)بر(\u200c|\s*)دقیقه
ژولبردقیقه(j/min),j/min
ژولبرساعت(j/h),ژول(\u200c|\s*)بر(\u200c|\s*)ساعت
ژولبرساعت(j/h),j/h
کالریبرثانیه(cal/s),کالری(\u200c|\s*)بر(\u200c|\s*)ثانیه
کالریبرثانیه(cal/s),cal/s
کالریبردقیقه(cal/min),کالری(\u200c|\s*)بر(\u200c|\s*)دقیقه
کالریبردقیقه(cal/min),cal/min
کالریبرساعت(cal/h),کالری(\u200c|\s*)بر(\u200c|\s*)ساعت
کالریبرساعت(cal/h),cal/h
لیتراتمسفربرساعت(L.atm/h),لیتر(\u200c|\s*)اتمسفر(\u200c|\s*)بر(\u200c|\s*)ساعت
لیتراتمسفربرساعت(L.atm/h),L.atm/h
لیتراتمسفربردقیقه(L.atm/min),لیتر(\u200c|\s*)اتمسفر(\u200c|\s*)بر(\u200c|\s*)دقیقه
لیتراتمسفربردقیقه(L.atm/min),L.atm/min
لیتراتمسفربرثانیه(L.atm/s),لیتر(\u200c|\s*)اتمسفر(\u200c|\s*)بر(\u200c|\s*)ثانیه
لیتراتمسفربرثانیه(L.atm/s),L.atm/s
ارگبرثانیه(erg/s),ارگ(\u200c|\s*)بر(\u200c|\s*)ثانیه
ارگبرثانیه(erg/s),erg/s
فوتپوندبرساعت(ft.lb/h),فوت(\u200c|\s*)پوند(\u200c|\s*)بر(\u200c|\s*)ساعت
فوتپوندبرساعت(ft.lb/h),ft.lb/h
فوتپوندبردقیقه(ft.lb/min),فوت(\u200c|\s*)پوند(\u200c|\s*)بر(\u200c|\s*)دقیقه
فوتپوندبردقیقه(ft.lb/min),ft.lb/min
فوتپوندبرثانیه(ft.lb/s),فوت(\u200c|\s*)پوند(\u200c|\s*)بر(\u200c|\s*)ثانیه
فوتپوندبرثانیه(ft.lb/s),ft.lb/s
BTUبرثانیه(BTU/s),BTU(\u200c|\s*)بر(\u200c|\s*)ثانیه
BTUبرثانیه(BTU/s),BTU/s
BTUبردقیقه(BTU/min),BTU(\u200c|\s*)بر(\u200c|\s*)دقیقه
BTUبردقیقه(BTU/min),BTU/min
BTUبرساعت(BTU/h),BTU(\u200c|\s*)بر(\u200c|\s*)ساعت
BTUبرساعت(BTU/h),BTU/h
نیوتن-متر(N.m),نیوتن-متر
نیوتن-متر(N.m),N.m
فوت-پوندنیرو(ft.lbf),فوت-پوند(\u200c|\s*)نیرو
فوت-پوندنیرو(ft.lbf),ft.lbf
متر-کیلوگرمنیرو(m.Kgf),متر-کیلو(\u200c|\s*)گرم(\u200c|\s*)نیرو
متر-کیلوگرمنیرو(m.Kgf),m.Kgf
متر-کیلوپوند(m.Kp),متر-کیلو(\u200c|\s*)پوند
متر-کیلوپوند(m.Kp),m.Kp
سانتیمتر-کیلوگرمنیرو(cm.Kgf),سانتی(\u200c|\s*)متر-کیلو(\u200c|\s*)گرم(\u200c|\s*)نیرو
سانتیمتر-کیلوگرمنیرو(cm.Kgf),cm.Kgf
سانتیمتر-گرمنیرو(cm.gf),سانتی(\u200c|\s*)متر-گرم(\u200c|\s*)نیرو
سانتیمتر-گرمنیرو(cm.gf),cm.gf
اینچ-اونسنیرو(in.ozf),اینچ-اونس(\u200c|\s*)نیرو
اینچ-اونسنیرو(in.ozf),in.ozf
اینچ-پوندنیرو(in.lbf),اینچ-پوند(\u200c|\s*)نیرو
اینچ-پوندنیرو(in.lbf),in.lbf
فوتپوندال(ft.pdl),فوت(\u200c|\s*)پوند(\u200c|\s*)ال
فوتپوندال(ft.pdl),ft.pdl
ثانیه(s),ثانیه
ثانیه(s),s
کیلوثانیه(ks),کیلو(\u200c|\s*)ثانیه
کیلوثانیه(ks),ks
میلیثانیه(ms),میلی(\u200c|\s*)ثانیه
میلیثانیه(ms),ms
میکروثانیه(μs),میکرو(\u200c|\s*)ثانیه
میکروثانیه(μs),μs
نانوثانیه(ns),نانو(\u200c|\s*)ثانیه
نانوثانیه(ns),ns
پیکوثانیه(ps),پیکو(\u200c|\s*)ثانیه
پیکوثانیه(ps),ps
دقیقه(min),دقیقه
دقیقه(min),min
ساعت(h),ساعت
ساعت(h),h
روز(Day),روز
روز(Day),Day
هفته(Week),هفته
هفته(Week),Week
ماه(Month),ماه
ماه(Month),Month
ماهقمری,ماه(\u200c|\s*)قمری
سال(Year),سال
سال(Year),Year
سالقمری,سال(\u200c|\s*)قمری
دهه(Decade),دهه
دهه(Decade),Decade
قرن(Century),قرن
قرن(Century),Century
تنبرمترمکعب(t/m³),تن(\u200c|\s*)بر(\u200c|\s*)متر(\u200c|\s*)مکعب
تنبرمترمکعب(t/m³),t/m³
کیلوگرمبرمترمکعب(kg/m³),کیلو(\u200c|\s*)گرم(\u200c|\s*)بر(\u200c|\s*)متر(\u200c|\s*)مکعب
کیلوگرمبرمترمکعب(kg/m³),kg/m³
کیلوگرمبرلیتر(kg/L),کیلو(\u200c|\s*)گرم(\u200c|\s*)بر(\u200c|\s*)لیتر
کیلوگرمبرلیتر(kg/L),kg/L
کیلوگرمبردسیمترمکعب(kg/dm³),کیلو(\u200c|\s*)گرم(\u200c|\s*)بر(\u200c|\s*)دسی(\u200c|\s*)متر(\u200c|\s*)مکعب
کیلوگرمبردسیمترمکعب(kg/dm³),kg/dm³
گرمبرمترمکعب(g/m³),گرم(\u200c|\s*)بر(\u200c|\s*)متر(\u200c|\s*)مکعب
گرمبرمترمکعب(g/m³),g/m³
گرمبرلیتر(g/L),گرم(\u200c|\s*)بر(\u200c|\s*)لیتر
گرمبرلیتر(g/L),g/L
گرمبرسانتیمترمکعب(g/cm³),گرم(\u200c|\s*)بر(\u200c|\s*)سانتی(\u200c|\s*)متر(\u200c|\s*)مکعب
گرمبرسانتیمترمکعب(g/cm³),g/cm³
گرمبرمیلیلیتر(g/mL),گرم(\u200c|\s*)بر(\u200c|\s*)میلی(\u200c|\s*)لیتر
گرمبرمیلیلیتر(g/mL),g/mL
گرمبرمیلیمترمکعب(g/mm³),گرم(\u200c|\s*)بر(\u200c|\s*)میلی(\u200c|\s*)متر(\u200c|\s*)مکعب
گرمبرمیلیمترمکعب(g/mm³),g/mm³
میلیگرمبرلیتر(mg/L),میلی(\u200c|\s*)گرم(\u200c|\s*)بر(\u200c|\s*)لیتر
میلیگرمبرلیتر(mg/L),mg/L
میلیگرمبرسانتیمترمکعب(mg/cm³),میلی(\u200c|\s*)گرم(\u200c|\s*)بر(\u200c|\s*)سانتی(\u200c|\s*)متر(\u200c|\s*)مکعب
میلیگرمبرسانتیمترمکعب(mg/cm³),mg/cm³
میلیگرمبرمیلیلیتر(mg/mL),میلی(\u200c|\s*)گرم(\u200c|\s*)بر(\u200c|\s*)میلی(\u200c|\s*)لیتر
میلیگرمبرمیلیلیتر(mg/mL),mg/mL
